cumulative_rewards,euclidian_distance,object_size,regret,time_spent
455.0,0.796875,64.0,378.333333333,1.15799093246
600.0,0.0703125,64.0,233.333333333,1.09599900246
670.0,0.0138871492986,64.0,163.333333333,1.0775949955
704.0,0.693856462926,64.0,129.333333333,1.11743497849
567.0,0.0518693637275,64.0,266.333333333,1.08395791054
629.0,0.650206663327,64.0,204.333333333,1.05070900917
561.0,0.7265625,64.0,272.333333333,1.07399916649
734.0,0.075118987976,64.0,99.3333333333,1.05991005898
732.0,0.108059869739,64.0,101.333333333,1.12117815018
776.0,0.64939253507,64.0,57.3333333333,1.09006881714
708.0,0.0296765405812,64.0,125.333333333,1.0173060894
500.0,0.0182004634269,64.0,333.333333333,1.1059949398
362.0,0.71433491984,64.0,471.333333333,1.13955497742
562.0,0.1015625,64.0,271.333333333,1.01256394386
650.0,0.138683617234,64.0,183.333333333,1.02317404747
690.0,0.696298847695,64.0,143.333333333,1.04900097847
197.0,0.0078125,64.0,636.333333333,1.0809969902
163.0,0.15625,64.0,670.333333333,1.03947806358
380.0,0.0078125,64.0,453.333333333,1.04688096046
761.0,0.822050350701,64.0,72.3333333333,1.11061501503
302.0,0.0390625,64.0,531.333333333,1.13481688499
772.0,0.130166583166,64.0,61.3333333333,1.11221289635
721.0,0.046875,64.0,112.333333333,1.06726980209
477.0,0.470722695391,64.0,356.333333333,1.24143886566
771.0,0.197441758517,64.0,62.3333333333,1.1702029705
482.0,0.203125,64.0,351.333333333,1.189442873
759.0,0.107183116232,64.0,74.3333333333,1.14949083328
569.0,0.140186623246,64.0,264.333333333,1.17785906792
670.0,0.0776866232465,64.0,163.333333333,1.15054702759
749.0,0.181018286573,64.0,84.3333333333,1.22765493393
703.0,0.2093248998,64.0,130.333333333,1.12826895714
293.0,0.671875,64.0,540.333333333,1.09530305862
48.0,0.359375,64.0,785.333333333,1.07451415062
143.0,0.921875,64.0,690.333333333,1.08355808258
273.0,0.9453125,64.0,560.333333333,1.11222314835
623.0,0.0833855210421,64.0,210.333333333,1.0874311924
