cumulative_rewards,euclidian_distance,object_size,regret,time_spent
474.0,0.625,64.0,359.333333333,1.17679905891
395.0,0.625,64.0,438.333333333,1.14594888687
609.0,0.125,64.0,224.333333333,1.17037701607
603.0,0.125,64.0,230.333333333,1.09094810486
502.0,0.625,64.0,331.333333333,1.15475797653
439.0,0.875,64.0,394.333333333,1.14802217484
627.0,0.0625,64.0,206.333333333,1.08297681808
678.0,0.810871743487,64.0,155.333333333,1.12814688683
807.0,0.694639278557,64.0,26.3333333333,1.16672801971
646.0,0.125,64.0,187.333333333,1.16136479378
156.0,0.0625,64.0,677.333333333,1.19721102715
187.0,0.375,64.0,646.333333333,1.181442976
252.0,0.03125,64.0,581.333333333,1.18729281425
270.0,0.9375,64.0,563.333333333,1.13262701035
250.0,0.875,64.0,583.333333333,1.16198992729
396.0,0.8125,64.0,437.333333333,1.20098805428
424.0,0.5625,64.0,409.333333333,1.22531294823
287.0,0.0625,64.0,546.333333333,1.11683392525
576.0,0.8125,64.0,257.333333333,1.35628390312
321.0,0.0216683366733,64.0,512.333333333,1.14031410217
767.0,0.0563627254509,64.0,66.3333333333,1.14096593857
608.0,0.125,64.0,225.333333333,1.09658312798
391.0,0.0625,64.0,442.333333333,1.20580410957
113.0,0.8125,64.0,720.333333333,1.46188807487
660.0,0.125,64.0,173.333333333,1.38075089455
305.0,0.25,64.0,528.333333333,1.28924584389
626.0,0.00926853707415,64.0,207.333333333,1.27369117737
777.0,0.00576152304609,64.0,56.3333333333,1.17218399048
128.0,0.0625,64.0,705.333333333,1.16621804237
735.0,0.060871743487,64.0,98.3333333333,1.10644602776
711.0,0.0964428857715,64.0,122.333333333,1.14387512207
732.0,0.059869739479,64.0,101.333333333,1.19959998131
420.0,0.4375,64.0,413.333333333,1.02373099327
740.0,0.125,64.0,93.3333333333,1.14615392685
750.0,0.103957915832,64.0,83.3333333333,1.12360692024
669.0,0.125,64.0,164.333333333,1.06180906296
355.0,0.875,64.0,478.333333333,1.41439318657
818.0,0.470691382766,64.0,15.3333333333,1.109416008
584.0,0.125,64.0,249.333333333,1.79605579376
598.0,0.375,64.0,235.333333333,1.35726904869
454.0,0.875,64.0,379.333333333,1.40159916878
668.0,0.875,64.0,165.333333333,1.91906499863
669.0,0.0368236472946,64.0,164.333333333,1.45492911339
776.0,0.798847695391,64.0,57.3333333333,1.97075676918
631.0,0.625,64.0,202.333333333,1.55403208733
647.0,0.3125,64.0,186.333333333,1.8531908989
791.0,0.625,64.0,42.3333333333,2.02778911591
395.0,0.0103957915832,64.0,438.333333333,2.44088482857
596.0,0.0625,64.0,237.333333333,1.75842189789
242.0,0.03125,64.0,591.333333333,1.25304889679
745.0,0.0278056112224,64.0,88.3333333333,1.35837697983
213.0,0.6875,64.0,620.333333333,1.36161804199
322.0,0.9375,64.0,511.333333333,1.36953687668
302.0,0.125,64.0,531.333333333,1.3452270031
458.0,0.625,64.0,375.333333333,1.49074602127
285.0,0.0625,64.0,548.333333333,1.13829088211
593.0,0.0131513026052,64.0,240.333333333,1.19673800468
312.0,0.625,64.0,521.333333333,1.22194314003
550.0,0.0625,64.0,283.333333333,1.23139095306
222.0,0.0625,64.0,611.333333333,1.2372481823
651.0,0.00275551102204,64.0,182.333333333,1.08505702019
158.0,0.875,64.0,675.333333333,1.06280207634
734.0,0.063877755511,64.0,99.3333333333,1.11186504364
342.0,0.8125,64.0,491.333333333,1.04188394547
654.0,0.625,64.0,179.333333333,1.07835507393
611.0,0.0625,64.0,222.333333333,1.02667593956
615.0,0.0408316633267,64.0,218.333333333,1.15823507309
319.0,0.5625,64.0,514.333333333,1.0415019989
498.0,0.03125,64.0,335.333333333,1.20655989647
597.0,0.125,64.0,236.333333333,1.94781899452
444.0,0.625,64.0,389.333333333,2.59750199318
779.0,0.0703907815631,64.0,54.3333333333,1.64894008636
431.0,0.524423847695,64.0,402.333333333,2.02049183846
526.0,0.8125,64.0,307.333333333,1.95855283737
535.0,0.625,64.0,298.333333333,1.86647987366
644.0,0.862975951904,64.0,189.333333333,1.56207489967
580.0,0.625,64.0,253.333333333,3.23266506195
467.0,0.25,64.0,366.333333333,1.97110295296
304.0,0.375,64.0,529.333333333,2.48125815392
335.0,0.375,64.0,498.333333333,1.41881084442
519.0,0.00676352705411,64.0,314.333333333,1.6093518734
594.0,0.125,64.0,239.333333333,2.29177498817
628.0,0.125,64.0,205.333333333,2.19765901566
