cumulative_rewards,euclidian_distance,object_size,regret,time_spent
770.0,0.0553607214429,64.0,63.3333333333,1.50511097908
687.0,0.00313126252505,64.0,146.333333333,1.00124406815
757.0,0.776803607214,64.0,76.3333333333,0.918435096741
447.0,0.875,64.0,386.333333333,0.818400144577
20.0,0.09375,64.0,813.333333333,0.890722036362
486.0,0.375,64.0,347.333333333,0.817919015884
462.0,0.8125,64.0,371.333333333,0.818286895752
461.0,0.375,64.0,372.333333333,0.885217905045
668.0,0.712675350701,64.0,165.333333333,0.864264011383
677.0,0.75,64.0,156.333333333,0.734570980072
628.0,0.0495991983968,64.0,205.333333333,1.1827981472
742.0,0.582915831663,64.0,91.3333333333,1.16813611984
478.0,0.75,64.0,355.333333333,1.83071994781
718.0,0.375,64.0,115.333333333,1.54024291039
215.0,0.9375,64.0,618.333333333,1.13701081276
765.0,0.282815631263,64.0,68.3333333333,1.95525598526
801.0,0.061372745491,64.0,32.3333333333,1.8765130043
613.0,0.375,64.0,220.333333333,1.95851206779
757.0,0.181613226453,64.0,76.3333333333,0.838876008987
621.0,0.0625,64.0,212.333333333,0.76792216301
600.0,0.0625,64.0,233.333333333,0.786199092865
372.0,0.0625,64.0,461.333333333,1.54788994789
278.0,0.1875,64.0,555.333333333,1.12476205826
483.0,0.875,64.0,350.333333333,0.760819911957
628.0,0.000751503006012,64.0,205.333333333,1.13758182526
274.0,0.375,64.0,559.333333333,1.18771505356
207.0,0.5625,64.0,626.333333333,0.946449995041
526.0,0.25,64.0,307.333333333,0.878756999969
89.0,0.25,64.0,744.333333333,0.701480865479
321.0,0.03125,64.0,512.333333333,0.860172986984
783.0,0.0663827655311,64.0,50.3333333333,0.880496025085
177.0,0.8125,64.0,656.333333333,0.99979186058
565.0,0.125,64.0,268.333333333,1.02176713943
557.0,0.0625,64.0,276.333333333,1.00981497765
764.0,0.13001002004,64.0,69.3333333333,0.873565912247
731.0,0.065380761523,64.0,102.333333333,0.887069940567
611.0,0.8125,64.0,222.333333333,0.764498949051
576.0,0.0111472945892,64.0,257.333333333,0.81751704216
168.0,0.0625,64.0,665.333333333,0.766837120056
734.0,0.0298096192385,64.0,99.3333333333,0.743005990982
592.0,0.125,64.0,241.333333333,0.850897073746
363.0,0.25,64.0,470.333333333,0.797868013382
587.0,0.00889278557114,64.0,246.333333333,0.64734005928
608.0,0.625,64.0,225.333333333,0.796782970428
590.0,0.125,64.0,243.333333333,0.757575035095
541.0,0.125,64.0,292.333333333,0.75541806221
423.0,0.875,64.0,410.333333333,0.674339771271
365.0,0.0625,64.0,468.333333333,0.743244886398
389.0,0.0244238476954,64.0,444.333333333,0.736749887466
288.0,0.0625,64.0,545.333333333,0.764909982681
25.0,0.75,64.0,808.333333333,0.727981090546
577.0,0.375,64.0,256.333333333,0.752454996109
595.0,0.00425851703407,64.0,238.333333333,1.01957798004
597.0,0.125,64.0,236.333333333,0.81077003479
600.0,0.125,64.0,233.333333333,0.898380994797
739.0,0.0162825651303,64.0,94.3333333333,0.703845977783
27.0,0.75,64.0,806.333333333,0.749651193619
486.0,0.625,64.0,347.333333333,0.775461912155
215.0,0.125,64.0,618.333333333,0.746391057968
565.0,0.125,64.0,268.333333333,0.698654174805
593.0,0.0503507014028,64.0,240.333333333,0.735832929611
775.0,0.0343186372745,64.0,58.3333333333,0.709400892258
601.0,0.125,64.0,232.333333333,0.718887805939
687.0,0.106462925852,64.0,146.333333333,1.20436811447
143.0,0.25,64.0,690.333333333,1.1951379776
822.0,0.13877755511,64.0,11.3333333333,1.26173901558
322.0,0.875,64.0,511.333333333,0.958170890808
756.0,0.0789078156313,64.0,77.3333333333,0.838440179825
761.0,0.0944388777555,64.0,72.3333333333,0.818850040436
341.0,0.00764028056112,64.0,492.333333333,3.54812002182
765.0,0.0318136272545,64.0,68.3333333333,3.95363306999
253.0,0.875,64.0,580.333333333,5.17051196098
703.0,0.0358216432866,64.0,130.333333333,3.0673801899
28.0,0.0625,64.0,805.333333333,1.95864486694
386.0,0.5,64.0,447.333333333,1.12638902664
672.0,0.875,64.0,161.333333333,1.77918100357
118.0,0.8125,64.0,715.333333333,1.62174105644
164.0,0.0625,64.0,669.333333333,1.3013689518
777.0,0.208667334669,64.0,56.3333333333,1.04702305794
606.0,0.75,64.0,227.333333333,0.961362123489
613.0,0.125,64.0,220.333333333,0.861153125763
224.0,0.875,64.0,609.333333333,1.51382088661
192.0,0.3125,64.0,641.333333333,2.30961489677
84.0,0.0625,64.0,749.333333333,1.72016716003
538.0,0.0207915831663,64.0,295.333333333,0.783077001572
371.0,0.25,64.0,462.333333333,1.62931919098
419.0,0.625,64.0,414.333333333,1.3525428772
648.0,0.0473446893788,64.0,185.333333333,1.90903806686
813.0,0.659819639279,64.0,20.3333333333,0.971071004868
449.0,0.0625,64.0,384.333333333,0.789009094238
281.0,0.125,64.0,552.333333333,0.766907930374
159.0,0.75,64.0,674.333333333,0.776583909988
674.0,0.338927855711,64.0,159.333333333,0.844707965851
782.0,0.326903807615,64.0,51.3333333333,0.772912025452
367.0,0.1875,64.0,466.333333333,0.71250295639
593.0,0.0625,64.0,240.333333333,0.714731931686
778.0,0.0222945891784,64.0,55.3333333333,0.737420797348
380.0,0.75,64.0,453.333333333,0.907428026199
532.0,0.125,64.0,301.333333333,1.31590509415
783.0,0.0285571142285,64.0,50.3333333333,0.920946121216
309.0,0.0625,64.0,524.333333333,1.15614914894
583.0,0.0532314629259,64.0,250.333333333,0.794587850571
565.0,0.0105210420842,64.0,268.333333333,1.09433603287
415.0,0.00162825651303,64.0,418.333333333,0.886388063431
764.0,0.00375751503006,64.0,69.3333333333,0.721416950226
768.0,0.0283066132265,64.0,65.3333333333,0.718261957169
666.0,0.0399549098196,64.0,167.333333333,0.805772066116
430.0,0.625,64.0,403.333333333,2.46974205971
275.0,0.1875,64.0,558.333333333,1.58923196793
256.0,0.375,64.0,577.333333333,2.65721201897
105.0,0.75,64.0,728.333333333,2.0316400528
423.0,0.03125,64.0,410.333333333,2.6868288517
600.0,0.134018036072,64.0,233.333333333,0.872032880783
291.0,0.75,64.0,542.333333333,1.6143219471
188.0,0.6875,64.0,645.333333333,1.34838008881
626.0,0.418086172345,64.0,207.333333333,0.895616054535
589.0,0.125,64.0,244.333333333,2.48596596718
87.0,0.34375,64.0,746.333333333,1.57264208794
604.0,0.125,64.0,229.333333333,0.822291851044
22.0,0.03125,64.0,811.333333333,0.84888792038
463.0,0.000751503006012,64.0,370.333333333,0.714907884598
62.0,0.125,64.0,771.333333333,0.955523967743
653.0,0.125,64.0,180.333333333,0.800890922546
647.0,0.375,64.0,186.333333333,0.795585155487
566.0,0.695891783567,64.0,267.333333333,0.806021928787
786.0,0.000250501002004,64.0,47.3333333333,0.804464101791
78.0,0.25,64.0,755.333333333,0.909515142441
587.0,0.0247995991984,64.0,246.333333333,0.853345870972
18.0,0.375,64.0,815.333333333,2.07786488533
76.0,0.8125,64.0,757.333333333,1.06301903725
813.0,0.480711422846,64.0,20.3333333333,1.04625606537
523.0,0.875,64.0,310.333333333,0.740491867065
131.0,0.0625,64.0,702.333333333,0.781259059906
542.0,0.125,64.0,291.333333333,1.46137595177
273.0,0.875,64.0,560.333333333,0.949249982834
599.0,0.125,64.0,234.333333333,1.06567502022
122.0,0.03125,64.0,711.333333333,0.861800909042
78.0,0.25,64.0,755.333333333,2.0893099308
228.0,0.375,64.0,605.333333333,1.71408200264
553.0,0.0625,64.0,280.333333333,1.33357405663
599.0,0.125,64.0,234.333333333,1.18161582947
272.0,0.0625,64.0,561.333333333,0.891629934311
760.0,0.0996993987976,64.0,73.3333333333,0.961402893066
691.0,0.0473446893788,64.0,142.333333333,0.874684810638
265.0,0.625,64.0,568.333333333,0.994677066803
544.0,0.625,64.0,289.333333333,0.899147987366
745.0,0.062374749499,64.0,88.3333333333,1.36135792732
51.0,0.875,64.0,782.333333333,0.851554870605
593.0,0.125,64.0,240.333333333,1.01333904266
29.0,0.78125,64.0,804.333333333,0.856090068817
116.0,0.25,64.0,717.333333333,0.947630167007
790.0,0.0483466933868,64.0,43.3333333333,1.12105298042
775.0,0.187625250501,64.0,58.3333333333,0.809252977371
473.0,0.0625,64.0,360.333333333,0.83689904213
617.0,0.0301853707415,64.0,216.333333333,0.887433052063
403.0,0.0625,64.0,430.333333333,0.980621099472
623.0,0.125,64.0,210.333333333,0.984622001648
254.0,0.25,64.0,579.333333333,1.08773589134
566.0,0.125,64.0,267.333333333,0.86465716362
534.0,0.125,64.0,299.333333333,0.910369873047
461.0,0.625,64.0,372.333333333,1.02723693848
282.0,0.75,64.0,551.333333333,1.04199504852
600.0,0.0192885771543,64.0,233.333333333,0.968677997589
126.0,0.0625,64.0,707.333333333,1.94585800171
463.0,0.0625,64.0,370.333333333,1.46045708656
603.0,0.061372745491,64.0,230.333333333,1.41642403603
592.0,0.0625,64.0,241.333333333,1.44408297539
718.0,0.125,64.0,115.333333333,2.22486710548
760.0,0.142034068136,64.0,73.3333333333,1.74162006378
192.0,0.875,64.0,641.333333333,1.47992610931
159.0,0.875,64.0,674.333333333,1.84017705917
65.0,0.96875,64.0,768.333333333,1.72503113747
338.0,0.0625,64.0,495.333333333,1.5096180439
222.0,0.0625,64.0,611.333333333,1.19130682945
616.0,0.00237975951904,64.0,217.333333333,1.55621910095
