cumulative_rewards,euclidian_distance,regret,time_spent
717.0,0.625,116.333333333,1.14782190323
590.0,0.125,243.333333333,1.92148900032
544.0,0.125,289.333333333,1.22383785248
139.0,0.375,694.333333333,1.33394289017
158.0,0.6875,675.333333333,1.21289086342
772.0,0.730711422846,61.3333333333,1.45046281815
732.0,0.0558617234469,101.333333333,1.27400302887
43.0,0.03125,790.333333333,1.38447713852
640.0,0.125,193.333333333,1.1045589447
669.0,0.375,164.333333333,1.06865501404
585.0,0.625,248.333333333,1.04913902283
800.0,0.464679358717,33.3333333333,1.10575199127
237.0,0.3125,596.333333333,1.07822394371
611.0,0.00676352705411,222.333333333,1.01617312431
676.0,0.75,157.333333333,1.13184714317
463.0,0.125,370.333333333,1.06056404114
597.0,0.125,236.333333333,1.02149987221
773.0,0.00175350701403,60.3333333333,1.13661885262
574.0,0.00062625250501,259.333333333,1.06513094902
375.0,0.4375,458.333333333,1.261054039
356.0,0.1875,477.333333333,1.12600898743
749.0,0.0583667334669,84.3333333333,1.09521389008
763.0,0.75,70.3333333333,1.12893509865
581.0,0.0625,252.333333333,1.16943597794
598.0,0.808867735471,235.333333333,1.02613997459
538.0,0.625,295.333333333,1.08513188362
524.0,0.5625,309.333333333,1.05469799042
670.0,0.0443386773547,163.333333333,1.14390420914
180.0,0.6875,653.333333333,1.03063511848
746.0,0.695891783567,87.3333333333,1.10384297371
778.0,0.0107715430862,55.3333333333,1.25595402718
667.0,0.0313126252505,166.333333333,1.11607909203
428.0,0.125,405.333333333,1.0158700943
574.0,0.0625,259.333333333,1.04027700424
486.0,0.0625,347.333333333,1.01409387589
123.0,0.03125,710.333333333,1.24261713028
590.0,0.125,243.333333333,1.03082990646
212.0,0.375,621.333333333,1.15570807457
584.0,0.0625,249.333333333,1.1539080143
498.0,0.375,335.333333333,1.25289011002
534.0,0.03125,299.333333333,1.00229096413
419.0,0.875,414.333333333,1.09219884872
629.0,0.062875751503,204.333333333,1.04546403885
706.0,0.0331913827655,127.333333333,1.06359887123
278.0,0.75,555.333333333,0.980167150497
370.0,0.75,463.333333333,0.977301120758
463.0,0.625,370.333333333,1.05338716507
626.0,0.0368236472946,207.333333333,0.987877845764
668.0,0.615355711423,165.333333333,1.03116607666
742.0,0.0273046092184,91.3333333333,0.987009048462
376.0,0.03125,457.333333333,0.916392803192
405.0,0.0625,428.333333333,1.03098511696
