cumulative_rewards,euclidian_distance,regret,time_spent
585.0,0.109375,248.333333333,1.28925013542
270.0,0.890625,563.333333333,1.38195610046
360.0,0.0859375,473.333333333,1.16045713425
513.0,0.0234375,320.333333333,1.13910508156
69.0,0.09375,764.333333333,1.3502600193
717.0,0.024063752505,116.333333333,1.63212108612
88.0,0.796875,745.333333333,1.70052695274
385.0,0.9921875,448.333333333,1.02838301659
441.0,0.453125,392.333333333,1.10257911682
493.0,0.0234375,340.333333333,1.08971309662
64.0,0.484375,769.333333333,1.10800218582
597.0,0.046875,236.333333333,1.10766291618
709.0,0.204628006012,124.333333333,1.1721470356
678.0,0.0858279058116,155.333333333,1.18977022171
612.0,0.1015625,221.333333333,1.09385204315
707.0,0.0581945140281,126.333333333,1.10098791122
704.0,0.70187249499,129.333333333,1.20608901978
246.0,0.296875,587.333333333,1.21908092499
464.0,0.02734375,369.333333333,0.990612983704
591.0,0.0078125,242.333333333,1.07944512367
207.0,0.015625,626.333333333,1.13394713402
514.0,0.0390625,319.333333333,1.09950995445
262.0,0.2578125,571.333333333,1.06554603577
309.0,0.984375,524.333333333,1.20485401154
616.0,0.296875,217.333333333,1.16693902016
401.0,0.703125,432.333333333,1.14850783348
401.0,0.671875,432.333333333,1.146089077
568.0,0.00921373997996,265.333333333,1.0477540493
590.0,0.0237193136273,243.333333333,1.07726883888
704.0,0.152320265531,129.333333333,1.09116506577
711.0,0.126158567134,122.333333333,1.10580420494
249.0,0.015625,584.333333333,1.15434098244
728.0,0.0196956412826,105.333333333,1.11584305763
320.0,0.5078125,513.333333333,1.11073899269
590.0,0.4140625,243.333333333,1.01200699806
256.0,0.9921875,577.333333333,0.992384910583
605.0,0.5390625,228.333333333,1.2206890583
322.0,0.703125,511.333333333,1.11196398735
781.0,0.0508360470942,52.3333333333,1.02993202209
440.0,0.9765625,393.333333333,1.15094399452
596.0,0.1953125,237.333333333,1.27050995827
597.0,0.0130025676353,236.333333333,1.04544878006
329.0,0.296875,504.333333333,1.18320298195
306.0,0.359375,527.333333333,1.13207006454
546.0,0.265625,287.333333333,1.1343870163
572.0,0.0546875,261.333333333,1.22755002975
624.0,0.296671467936,209.333333333,1.16650295258
519.0,0.0234375,314.333333333,1.07948303223
310.0,0.953125,523.333333333,1.07976484299
359.0,0.9921875,474.333333333,1.14185285568
618.0,0.0234375,215.333333333,1.12842297554
668.0,0.359375,165.333333333,1.08506703377
773.0,0.0346004509018,60.3333333333,1.11930990219
806.0,0.414610470942,27.3333333333,1.17000102997
761.0,0.855742735471,72.3333333333,1.08932209015
640.0,3.13126252506e-05,193.333333333,1.23551988602
322.0,0.296875,511.333333333,1.03156900406
406.0,0.546875,427.333333333,1.11255192757
738.0,0.0150613727455,95.3333333333,1.16414499283
678.0,0.117093562124,155.333333333,1.01066589355
460.0,0.735361347695,373.333333333,1.07004308701
78.0,0.984375,755.333333333,1.14291787148
811.0,0.0423659819639,22.3333333333,1.06287884712
592.0,0.734375,241.333333333,1.04802489281
137.0,0.453125,696.333333333,1.2218170166
484.0,0.484375,349.333333333,1.04314184189
591.0,0.0234375,242.333333333,1.09905195236
768.0,0.0134331162325,65.3333333333,1.08336091042
613.0,0.234375,220.333333333,1.0319018364
680.0,0.890625,153.333333333,1.19795584679
511.0,0.0390625,322.333333333,1.15558600426
526.0,0.741576903808,307.333333333,1.24914908409
527.0,0.796875,306.333333333,1.1780769825
534.0,0.0546875,299.333333333,1.02979588509
434.0,0.8828125,399.333333333,1.14268302917
570.0,0.328125,263.333333333,1.15724086761
814.0,0.609375,19.3333333333,1.13043689728
701.0,0.0738508266533,132.333333333,1.05106306076
584.0,0.0703125,249.333333333,1.03471708298
150.0,0.890625,683.333333333,1.07782697678
172.0,0.265625,661.333333333,1.07479310036
224.0,0.796875,609.333333333,1.10911011696
653.0,0.114431988978,180.333333333,0.969594955444
313.0,0.203125,520.333333333,1.20494914055
200.0,0.0378413076152,633.333333333,1.1557290554
321.0,0.859375,512.333333333,1.1612341404
685.0,0.03780999499,148.333333333,1.05194711685
737.0,0.359375,96.3333333333,1.11267113686
612.0,0.0078125,221.333333333,1.06018400192
280.0,0.703125,553.333333333,1.14386892319
625.0,0.421875,208.333333333,1.43536114693
29.0,0.015625,804.333333333,1.23084592819
401.0,0.622588927856,432.333333333,1.2154519558
622.0,0.2109375,211.333333333,1.01595902443
510.0,0.0420528557114,323.333333333,1.04155898094
601.0,0.0546875,232.333333333,1.03671598434
636.0,0.0170810370741,197.333333333,1.05519199371
