cumulative_rewards,euclidian_distance,regret,time_spent
455.0,0.375,378.333333333,1.11133909225
436.0,0.375,397.333333333,1.21760988235
609.0,0.875,224.333333333,1.24309396744
743.0,0.0518537074148,90.3333333333,1.25860095024
741.0,0.0827905811623,92.3333333333,1.35398697853
773.0,0.0237975951904,60.3333333333,1.21518492699
76.0,0.828125,757.333333333,1.34145617485
356.0,0.8125,477.333333333,1.41953992844
444.0,0.375,389.333333333,1.2655069828
208.0,0.0625,625.333333333,1.64281392097
632.0,0.0118987975952,201.333333333,1.21880078316
560.0,0.0909318637275,273.333333333,1.19046783447
746.0,0.0959418837675,87.3333333333,1.118475914
586.0,0.00676352705411,247.333333333,1.10888409615
390.0,0.75,443.333333333,1.0606470108
66.0,0.03125,767.333333333,1.19642996788
731.0,0.0929358717435,102.333333333,1.11125802994
646.0,0.0135270541082,187.333333333,1.1105120182
367.0,0.625,466.333333333,1.14808893204
148.0,0.375,685.333333333,1.27248716354
75.0,0.03125,758.333333333,1.07300305367
200.0,0.3125,633.333333333,1.30815386772
98.0,0.03125,735.333333333,1.30917096138
721.0,0.0695140280561,112.333333333,1.18971014023
503.0,0.1875,330.333333333,1.08126091957
563.0,0.125,270.333333333,1.27778887749
533.0,0.0149048096192,300.333333333,1.44969296455
579.0,0.4375,254.333333333,1.31272792816
621.0,0.0625,212.333333333,1.07866501808
656.0,0.375,177.333333333,1.27645087242
654.0,0.0211673346693,179.333333333,1.16550898552
709.0,0.0625,124.333333333,1.02441000938
113.0,0.03125,720.333333333,1.18687295914
587.0,0.0625,246.333333333,0.985287904739
695.0,0.0152805611222,138.333333333,1.1124060154
486.0,0.471129759519,347.333333333,1.03894090652
506.0,0.0559869739479,327.333333333,1.01950192451
643.0,0.0315631262525,190.333333333,1.04608917236
384.0,0.125,449.333333333,1.00926208496
50.0,0.03125,783.333333333,1.04299092293
92.0,0.0625,741.333333333,1.03005599976
568.0,0.125,265.333333333,1.01177191734
690.0,0.0102705410822,143.333333333,1.20262002945
596.0,0.125,237.333333333,2.19087290764
570.0,0.625,263.333333333,1.75577116013
325.0,0.0625,508.333333333,1.19535803795
431.0,0.0625,402.333333333,2.50045681
365.0,0.6875,468.333333333,1.88369393349
624.0,0.125,209.333333333,1.14478707314
175.0,0.0625,658.333333333,1.06883907318
605.0,0.0176603206413,228.333333333,1.29368305206
222.0,0.625,611.333333333,1.13424491882
210.0,0.0625,623.333333333,2.03486800194
765.0,0.0358216432866,68.3333333333,1.28899598122
32.0,0.03125,801.333333333,1.13366508484
706.0,0.375,127.333333333,1.00131511688
584.0,0.125,249.333333333,1.08268094063
327.0,0.60495991984,506.333333333,1.06515002251
730.0,0.168086172345,103.333333333,1.0920920372
765.0,0.0129008016032,68.3333333333,1.05909204483
772.0,0.000250501002004,61.3333333333,1.10997796059
716.0,0.0683867735471,117.333333333,1.19472312927
629.0,0.0625,204.333333333,1.41391992569
588.0,0.125,245.333333333,1.1717839241
101.0,0.9375,732.333333333,1.11993122101
330.0,0.0625,503.333333333,1.11058998108
606.0,0.125,227.333333333,1.09656500816
438.0,0.03125,395.333333333,1.0176179409
751.0,0.0182865731463,82.3333333333,1.04749107361
564.0,0.4375,269.333333333,1.11859798431
774.0,0.476703406814,59.3333333333,1.10232520103
728.0,0.113476953908,105.333333333,0.924400806427
45.0,0.03125,788.333333333,1.05336689949
590.0,0.0625,243.333333333,1.01868987083
626.0,0.062875751503,207.333333333,1.04403614998
323.0,0.125,510.333333333,1.08764195442
670.0,0.0455911823647,163.333333333,1.09331703186
286.0,0.75,547.333333333,1.19125103951
815.0,0.75,18.3333333333,1.1438190937
572.0,0.125,261.333333333,0.999531030655
436.0,0.625,397.333333333,1.0695130825
604.0,0.0231713426854,229.333333333,1.02055811882
708.0,0.00738977955912,125.333333333,1.10519504547
754.0,0.0062625250501,79.3333333333,1.57262897491
66.0,0.625,767.333333333,1.22149205208
454.0,0.125,379.333333333,0.983150005341
268.0,0.1875,565.333333333,1.09752702713
454.0,0.3125,379.333333333,1.1228351593
634.0,0.0275551102204,199.333333333,1.10040593147
647.0,0.628131262525,186.333333333,1.35350608826
579.0,0.125,254.333333333,1.02362895012
817.0,0.707915831663,16.3333333333,1.16115617752
608.0,0.0309368737475,225.333333333,1.02818894386
624.0,0.125,209.333333333,1.0620970726
223.0,0.25,610.333333333,1.26156187057
33.0,0.0625,800.333333333,1.12492799759
408.0,0.4375,425.333333333,1.43555402756
610.0,0.5625,223.333333333,1.11486291885
621.0,0.0294338677355,212.333333333,1.10465693474
766.0,0.0255511022044,67.3333333333,1.21011710167
619.0,0.125,214.333333333,1.11306190491
285.0,0.875,548.333333333,1.13991594315
655.0,0.625,178.333333333,1.16508293152
422.0,0.375,411.333333333,1.05275011063
593.0,0.125,240.333333333,1.08554601669
564.0,0.625,269.333333333,1.51093697548
775.0,0.584418837675,58.3333333333,1.33410692215
675.0,0.125,158.333333333,1.21529316902
38.0,0.03125,795.333333333,1.21959018707
395.0,0.875,438.333333333,1.15623998642
780.0,0.0245490981964,53.3333333333,1.21546888351
683.0,0.0187875751503,150.333333333,1.2204349041
817.0,0.310370741483,16.3333333333,1.20688199997
142.0,0.0625,691.333333333,1.05366802216
586.0,0.625,247.333333333,1.05323791504
483.0,0.125,350.333333333,1.01925587654
648.0,0.8125,185.333333333,1.0746409893
397.0,0.625,436.333333333,1.06462192535
549.0,0.625,284.333333333,1.11615490913
679.0,0.0147795591182,154.333333333,1.1214389801
617.0,0.625,216.333333333,1.17708992958
670.0,0.3125,163.333333333,1.0873939991
610.0,0.625,223.333333333,1.10075187683
97.0,0.25,736.333333333,1.1472530365
589.0,0.0625,244.333333333,1.04112100601
721.0,0.644539078156,112.333333333,1.26029896736
595.0,0.125,238.333333333,1.18478894234
744.0,0.0162825651303,89.3333333333,1.10774207115
